Module,Group,Quota,No,Lowest,Lowest,Highest,Faculty,Student Type
ACC1002,LECTURE B1,8,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
ACC1002X,LECTURE B1,1,9,1,4470,4470,SCHOOL OF BUSINESS,Returning Students [P] and 
,,24,4,2,1,200,SCHOOL OF COMPUTING,New Students [P]
ACC1002X,LECTURE B2,5,19,1,5413,6803,SCHOOL OF BUSINESS,Returning Students [P] and 
,,26,2,1,1,1,SCHOOL OF COMPUTING,New Students [P]
ACC1006,LECTURE C,4,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
ACC2002,LECTURE B,1,3,304,602,602,SCHOOL OF BUSINESS,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
AR1101,DESIGN TUTORIAL 1,15,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR1121,LECTURE 1,15,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR2101,DESIGN TUTORIAL 1,18,5,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2221,LECTURE 1,18,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2511,PACKAGED LECTURE 1,17,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR2723,LECTURE 1,16,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3101,DESIGN TUTORIAL 1,43,10,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
AR3222,LECTURE 1,60,45,1,1,1994,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P] and 
AR4101,DESIGN TUTORIAL 1,39,7,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR4103,DESIGN TUTORIAL 1,17,4,1,1,2,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR4222,LECTURE 1,14,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR4322,LECTURE 1,18,6,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,4,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR4323,LECTURE 1,44,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR5011,LECTURE 1,48,9,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR5312,LECTURE 1,9,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR5321,LECTURE 1,52,12,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AR5610,LECTURE 1,13,2,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
,,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
AS2237,LECTURE 1,1,2,100,210,210,ARTS & SOCIAL SCIENCES,Returning Students [P] and 
AS3234,LECTURE 1,3,1,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students [P] and 
,,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
BCP4002A,SECTIONAL TEACHING A,438,4,1,1,1651,SCHOOL OF BUSINESS,Returning Students [P]
BCP4002B,SECTIONAL TEACHING B,496,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
BHT4001A,SECTIONAL TEACHING A,487,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
BHT4001B,SECTIONAL TEACHING B,498,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
BHT4001C,SECTIONAL TEACHING C,500,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
BN2101,LECTURE 1,69,0,0,0,0,ENGINEERING,Returning Students [P]
BN3101,LECTURE 1,75,0,0,0,0,ENGINEERING,Returning Students [P]
BN3201,LECTURE 1,70,0,0,0,0,ENGINEERING,Returning Students [P]
